title,fitness_category,tool,body_part,target,disease,youtube_id,youtube_url,thumb_url,page_no,rank_on_page
First이전으로 12345다음으로Last,체력항목,운동도구,,유아기,질환,KlDL8qiVZuA,https://www.youtube.com/watch?v=KlDL8qiVZuA,https://img.youtube.com/vi/KlDL8qiVZuA/0.jpg,1,1
First이전으로 678910다음으로Last,체력항목,운동도구,/,유소년,질환,NCc6T_T7JJ8,https://www.youtube.com/watch?v=NCc6T_T7JJ8,https://img.youtube.com/vi/NCc6T_T7JJ8/0.jpg,2,1
First이전으로 1112131415다음으로Last,체력항목,운동도구,복부,유소년,질환,Kyt-UTRiVnM,https://www.youtube.com/watch?v=Kyt-UTRiVnM,https://img.youtube.com/vi/Kyt-UTRiVnM/0.jpg,3,1
First이전으로 1617181920다음으로Last,체력항목,운동도구,/,청소년,질환,D6K8cstq2vA,https://www.youtube.com/watch?v=D6K8cstq2vA,https://img.youtube.com/vi/D6K8cstq2vA/0.jpg,4,1
First이전으로 2122232425다음으로Last,체력항목,운동도구,등/몸통,청소년,질환,jI_cfentmYY,https://www.youtube.com/watch?v=jI_cfentmYY,https://img.youtube.com/vi/jI_cfentmYY/0.jpg,5,1
First이전으로 2627282930다음으로Last,체력항목,운동도구,전신,청소년,질환,RpSDn8NCm04,https://www.youtube.com/watch?v=RpSDn8NCm04,https://img.youtube.com/vi/RpSDn8NCm04/0.jpg,6,1
First이전으로 3132333435다음으로Last,체력항목,운동도구,전신,어르신,질환,3tXwkI9mLWM,https://www.youtube.com/watch?v=3tXwkI9mLWM,https://img.youtube.com/vi/3tXwkI9mLWM/0.jpg,7,1
First이전으로 3637383940다음으로Last,체력항목,운동도구,허벅지앞쪽,어르신,질환,VeZl905pjww,https://www.youtube.com/watch?v=VeZl905pjww,https://img.youtube.com/vi/VeZl905pjww/0.jpg,8,1
First이전으로 4142434445다음으로Last,체력항목,운동도구,/,어르신,질환,TPjapSPX1OA,https://www.youtube.com/watch?v=TPjapSPX1OA,https://img.youtube.com/vi/TPjapSPX1OA/0.jpg,9,1
First이전으로 4647484950다음으로Last,체력항목,운동도구,어깨,성인,질환,s0cjJXHo858,https://www.youtube.com/watch?v=s0cjJXHo858,https://img.youtube.com/vi/s0cjJXHo858/0.jpg,10,1
