title,fitness_category,tool,body_part,target,disease,youtube_id,youtube_url,thumb_url,page_no,rank_on_page
점핑점핑해요,심폐지구력,목봉/사다리/줄/하프콘,,유아기,,KlDL8qiVZuA,https://www.youtube.com/watch?v=KlDL8qiVZuA,https://img.youtube.com/vi/KlDL8qiVZuA/0.jpg,1,1
흔들어 체조,유연성,맨몸,전신,유아기,,bNGdUKkkg5Q,https://www.youtube.com/watch?v=bNGdUKkkg5Q,https://img.youtube.com/vi/bNGdUKkkg5Q/0.jpg,1,2
인사 체조,근력/근지구력,맨몸,전신,유아기,,5bh6al9PrBY,https://www.youtube.com/watch?v=5bh6al9PrBY,https://img.youtube.com/vi/5bh6al9PrBY/0.jpg,1,3
후굴자세 해봐요,유연성,보슈볼,전신,유아기,,UNNiQNukAmg,https://www.youtube.com/watch?v=UNNiQNukAmg,https://img.youtube.com/vi/UNNiQNukAmg/0.jpg,1,4
줄넘기 해요,심폐지구력,줄,전신,유아기,,qUn3Yb0j0Ko,https://www.youtube.com/watch?v=qUn3Yb0j0Ko,https://img.youtube.com/vi/qUn3Yb0j0Ko/0.jpg,1,5
지그재그 달려요,민첩성/순발력,라바콘/공/맨몸,전신,유아기,,JFb1g2BVw1Q,https://www.youtube.com/watch?v=JFb1g2BVw1Q,https://img.youtube.com/vi/JFb1g2BVw1Q/0.jpg,1,6
힘차게 던져요,민첩성/순발력,공,전신,유아기,,sPiJjJw8zg4,https://www.youtube.com/watch?v=sPiJjJw8zg4,https://img.youtube.com/vi/sPiJjJw8zg4/0.jpg,1,7
지게발 걸어요,평형성,막대/맨몸/하프콘,전신,유아기,,OCAEizGxsbA,https://www.youtube.com/watch?v=OCAEizGxsbA,https://img.youtube.com/vi/OCAEizGxsbA/0.jpg,1,8
후다닥 집어요,민첩성/순발력,공,상체,유아기,,EGZbme3XO1s,https://www.youtube.com/watch?v=EGZbme3XO1s,https://img.youtube.com/vi/EGZbme3XO1s/0.jpg,1,9
힘차게 맞춰요,민첩성/순발력,공/막대/목봉,전신,유아기,,epfZM_461MM,https://www.youtube.com/watch?v=epfZM_461MM,https://img.youtube.com/vi/epfZM_461MM/0.jpg,1,10
조심조심 걸어요,평형성,공/막대/목봉/사다리/줄,전신,유아기,,gDKdCMYu7lM,https://www.youtube.com/watch?v=gDKdCMYu7lM,https://img.youtube.com/vi/gDKdCMYu7lM/0.jpg,1,11
후다닥 붙여요,민첩성/순발력,공,전신,유아기,,6GaiMQ0RC00,https://www.youtube.com/watch?v=6GaiMQ0RC00,https://img.youtube.com/vi/6GaiMQ0RC00/0.jpg,1,12
우리 모두 다같이,근력/근지구력,맨몸,전신,유아기,,p8LPwUDWpOI,https://www.youtube.com/watch?v=p8LPwUDWpOI,https://img.youtube.com/vi/p8LPwUDWpOI/0.jpg,2,1
동물처럼 걸어요,근력/근지구력,맨몸,전신,유아기,,JwdlbUuMBpE,https://www.youtube.com/watch?v=JwdlbUuMBpE,https://img.youtube.com/vi/JwdlbUuMBpE/0.jpg,2,2
알을 낳아요,심폐지구력,공,전신,유아기,,FfGUlYOhMg0,https://www.youtube.com/watch?v=FfGUlYOhMg0,https://img.youtube.com/vi/FfGUlYOhMg0/0.jpg,2,3
꼬리를 떼어요,심폐지구력,라바콘/공/맨몸/스카프,전신,유아기,,VSkdVzQp3_Y,https://www.youtube.com/watch?v=VSkdVzQp3_Y,https://img.youtube.com/vi/VSkdVzQp3_Y/0.jpg,2,4
소방훈련 해요,근력/근지구력,맨몸,,유아기,,efSpX08rOPc,https://www.youtube.com/watch?v=efSpX08rOPc,https://img.youtube.com/vi/efSpX08rOPc/0.jpg,2,5
엉금엉금 기어요,근력/근지구력,라바콘/공/맨몸,상체,유아기,,mTqBxGSPyrQ,https://www.youtube.com/watch?v=mTqBxGSPyrQ,https://img.youtube.com/vi/mTqBxGSPyrQ/0.jpg,2,6
밸런스 보드에 서요,평형성,보슈볼,전신,유아기,,bAlyDuF9BSE,https://www.youtube.com/watch?v=bAlyDuF9BSE,https://img.youtube.com/vi/bAlyDuF9BSE/0.jpg,2,7
알록달록 공을 옮겨요,협응력,공,전신,유아기,,v5bZwdt5O6I,https://www.youtube.com/watch?v=v5bZwdt5O6I,https://img.youtube.com/vi/v5bZwdt5O6I/0.jpg,2,8
낚시를 해요,협응력,막대/줄,상체,유아기,,Q4307KeeK2g,https://www.youtube.com/watch?v=Q4307KeeK2g,https://img.youtube.com/vi/Q4307KeeK2g/0.jpg,2,9
밸런스 볼에 서요,평형성,보슈볼,전신,유아기,,-FG62V4U3ik,https://www.youtube.com/watch?v=-FG62V4U3ik,https://img.youtube.com/vi/-FG62V4U3ik/0.jpg,2,10
분리배출 해요,협응력,공/막대,,유아기,,JATBe36n69I,https://www.youtube.com/watch?v=JATBe36n69I,https://img.youtube.com/vi/JATBe36n69I/0.jpg,2,11
알록달록 붙여요,협응력,공/사다리/의자/줄,,유아기,,JCNEhRZ5aJ0,https://www.youtube.com/watch?v=JCNEhRZ5aJ0,https://img.youtube.com/vi/JCNEhRZ5aJ0/0.jpg,2,12
계이름 치기,협응력,맨몸,전신,유소년,,RBkj5eAk8N0,https://www.youtube.com/watch?v=RBkj5eAk8N0,https://img.youtube.com/vi/RBkj5eAk8N0/0.jpg,3,1
밴드를 당겨요,근력/근지구력,밴드,상체,유아기,,We_R8PO5jrk,https://www.youtube.com/watch?v=We_R8PO5jrk,https://img.youtube.com/vi/We_R8PO5jrk/0.jpg,3,2
거북이 스트레칭,유연성,맨몸,전신,유아기,,H8zlxTkQ9lg,https://www.youtube.com/watch?v=H8zlxTkQ9lg,https://img.youtube.com/vi/H8zlxTkQ9lg/0.jpg,3,3
윗몸 말며 공을 전달해요,근력/근지구력,공/맨몸,복부/허리/몸통,유아기,,C9GAO3Oy6z8,https://www.youtube.com/watch?v=C9GAO3Oy6z8,https://img.youtube.com/vi/C9GAO3Oy6z8/0.jpg,3,4
영차영차 올라요,근력/근지구력,맨몸,전신,유아기,,9R5q1RuISgU,https://www.youtube.com/watch?v=9R5q1RuISgU,https://img.youtube.com/vi/9R5q1RuISgU/0.jpg,3,5
공을 옮겨요(옆),협응력,공,전신,유아기,,B-EvmGDLOU8,https://www.youtube.com/watch?v=B-EvmGDLOU8,https://img.youtube.com/vi/B-EvmGDLOU8/0.jpg,3,6
끌어요 당겨요,근력/근지구력,맨몸/밴드/사다리,//몸통/,유아기,,nrB8QZ3rgb0,https://www.youtube.com/watch?v=nrB8QZ3rgb0,https://img.youtube.com/vi/nrB8QZ3rgb0/0.jpg,3,7
빌리보를 밀어요,근력/근지구력,맨몸/베개/보슈볼,전신,유아기,,g5bjIAgLr0o,https://www.youtube.com/watch?v=g5bjIAgLr0o,https://img.youtube.com/vi/g5bjIAgLr0o/0.jpg,3,8
딩딩링을 끼워요,근력/근지구력,맨몸/밴드/줄/테이블,상체/손목,유아기,,vZpUnllBHyI,https://www.youtube.com/watch?v=vZpUnllBHyI,https://img.youtube.com/vi/vZpUnllBHyI/0.jpg,3,9
공 받고 던져요,협응력,공,전신,유아기,,5qsEowv7Kco,https://www.youtube.com/watch?v=5qsEowv7Kco,https://img.youtube.com/vi/5qsEowv7Kco/0.jpg,3,10
공을 옮겨요(앞),협응력,공,전신,유아기,,zBBIu3eymPg,https://www.youtube.com/watch?v=zBBIu3eymPg,https://img.youtube.com/vi/zBBIu3eymPg/0.jpg,3,11
뽁뽁이를 눌러요,협응력,맨몸/보슈볼,상체/손목,유아기,,9rnRVkMoWtc,https://www.youtube.com/watch?v=9rnRVkMoWtc,https://img.youtube.com/vi/9rnRVkMoWtc/0.jpg,3,12
반복 옆뛰기,민첩성/순발력,맨몸/줄/하프콘,전신,유소년,,4gw_K966RAM,https://www.youtube.com/watch?v=4gw_K966RAM,https://img.youtube.com/vi/4gw_K966RAM/0.jpg,4,1
벽패스,협응력,공,전신,유소년,,beu4oIY1vjE,https://www.youtube.com/watch?v=beu4oIY1vjE,https://img.youtube.com/vi/beu4oIY1vjE/0.jpg,4,2
십(十)자 드리블,협응력,라바콘/공,전신,유소년,,byRsrO8qhpg,https://www.youtube.com/watch?v=byRsrO8qhpg,https://img.youtube.com/vi/byRsrO8qhpg/0.jpg,4,3
공 양손으로 주고 받기,협응력,공,전신,유소년,,wpRYvVFM-HA,https://www.youtube.com/watch?v=wpRYvVFM-HA,https://img.youtube.com/vi/wpRYvVFM-HA/0.jpg,4,4
의자 잡고 반복 옆 뛰기,민첩성/순발력,맨몸/의자,전신,유소년,,hOgaVdOSwdw,https://www.youtube.com/watch?v=hOgaVdOSwdw,https://img.youtube.com/vi/hOgaVdOSwdw/0.jpg,4,5
양 손 번갈아 공 튀기기,협응력,공,전신,유소년,,vffvCksMUfg,https://www.youtube.com/watch?v=vffvCksMUfg,https://img.youtube.com/vi/vffvCksMUfg/0.jpg,4,6
라켓으로 공 치며 앞으로 가기,협응력,풍선/라켓,전신,유소년,,S8MFxWv9wg4,https://www.youtube.com/watch?v=S8MFxWv9wg4,https://img.youtube.com/vi/S8MFxWv9wg4/0.jpg,4,7
공 위로 던지고 제자리 돌아 받기,협응력,공,전신,유소년,,m-ISbQftC2E,https://www.youtube.com/watch?v=m-ISbQftC2E,https://img.youtube.com/vi/m-ISbQftC2E/0.jpg,4,8
무릎-허리 높이로 공 튀기기,협응력,공,전신,유소년,,z4ROS7dj1fA,https://www.youtube.com/watch?v=z4ROS7dj1fA,https://img.youtube.com/vi/z4ROS7dj1fA/0.jpg,4,9
공 던져 색깔 맞추기,협응력,공,전신,유소년,,54fLPATKj50,https://www.youtube.com/watch?v=54fLPATKj50,https://img.youtube.com/vi/54fLPATKj50/0.jpg,4,10
훌라후프로 공 끌고 가기,협응력,공/훌라후프,전신,유소년,,83Y-Fp_lbf4,https://www.youtube.com/watch?v=83Y-Fp_lbf4,https://img.youtube.com/vi/83Y-Fp_lbf4/0.jpg,4,11
훌라후프하며 앞으로 가기,협응력,하프콘/훌라후프,전신,유소년,,LVgDNxRug0E,https://www.youtube.com/watch?v=LVgDNxRug0E,https://img.youtube.com/vi/LVgDNxRug0E/0.jpg,4,12
2단 줄넘기,민첩성/순발력,맨몸/줄넘기,전신,유소년,,MgxsqDqM9AQ,https://www.youtube.com/watch?v=MgxsqDqM9AQ,https://img.youtube.com/vi/MgxsqDqM9AQ/0.jpg,5,1
십(十)자 달리기,민첩성/순발력,맨몸/하프콘,전신,유소년,,k7nYGwru9qo,https://www.youtube.com/watch?v=k7nYGwru9qo,https://img.youtube.com/vi/k7nYGwru9qo/0.jpg,5,2
점프해서 발바닥 치기,민첩성/순발력,맨몸,/,유소년,,8KF6J_MMj7w,https://www.youtube.com/watch?v=8KF6J_MMj7w,https://img.youtube.com/vi/8KF6J_MMj7w/0.jpg,5,3
제자리 멀리 뛰기,민첩성/순발력,맨몸,/,유소년,,bbLthsYBQDI,https://www.youtube.com/watch?v=bbLthsYBQDI,https://img.youtube.com/vi/bbLthsYBQDI/0.jpg,5,4
연속 무릎 올리기,민첩성/순발력,맨몸/의자/줄/하프콘,/,유소년,,ca_bJSTNiNE,https://www.youtube.com/watch?v=ca_bJSTNiNE,https://img.youtube.com/vi/ca_bJSTNiNE/0.jpg,5,5
대(大)자 점프 뛰기,민첩성/순발력,맨몸,전신,유소년,,LX1hy8AJYCE,https://www.youtube.com/watch?v=LX1hy8AJYCE,https://img.youtube.com/vi/LX1hy8AJYCE/0.jpg,5,6
S자 달리기,민첩성/순발력,맨몸/하프콘,전신,유소년,,Fwp_dC6fY7U,https://www.youtube.com/watch?v=Fwp_dC6fY7U,https://img.youtube.com/vi/Fwp_dC6fY7U/0.jpg,5,7
4방향 콘 찍고 달리기,민첩성/순발력,맨몸/하프콘,전신,유소년,,7BwpXiGOMjQ,https://www.youtube.com/watch?v=7BwpXiGOMjQ,https://img.youtube.com/vi/7BwpXiGOMjQ/0.jpg,5,8
점프해서 손 발끝 닿기,민첩성/순발력,맨몸,전신,유소년,,rkfDOMaPDfw,https://www.youtube.com/watch?v=rkfDOMaPDfw,https://img.youtube.com/vi/rkfDOMaPDfw/0.jpg,5,9
콘 뛰어넘기,민첩성/순발력,맨몸/하프콘,/,유소년,,sx_cwgl6dGo,https://www.youtube.com/watch?v=sx_cwgl6dGo,https://img.youtube.com/vi/sx_cwgl6dGo/0.jpg,5,10
